,User,Tweet
0,SneakyTurts,God of War (2018) - This game was so FUCKING AWESOME. It’s most definitely my new favorite video game of all time https://t.co/YhIJYBampy
1,LagrangianBoink,"RT @LackOfView: During the day his arm is at the war god's service,
With a quickened heart, though war is not why he's nervous,
Restless ni…"
2,wayneda34941611,"RT @MarshaBlackburn: Honored to meet Middle Tennessee’s Honor Flight — comprised of over 2 dozen veterans who served in WWII, the Korean Wa…"
3,Richard11188374,"@Nibellion @Thumbreakur @Captain_Phyco @manfightdragon Maybe when they launch a Remake of Bloodborne or a secuel, because Sony are launching titles on PC when they have a Playstation exclusive secuel in the horizon (God of War, Horizon Zero Dawn, Spiderman, Death Stranding,...) or was a experimental new IP (Days Gone, Returnal,...)"
4,All100Senators,"RT @MarshaBlackburn: Honored to meet Middle Tennessee’s Honor Flight — comprised of over 2 dozen veterans who served in WWII, the Korean Wa…"
5,mark_fraenkel,"RT @MarshaBlackburn: Honored to meet Middle Tennessee’s Honor Flight — comprised of over 2 dozen veterans who served in WWII, the Korean Wa…"
6,MarshaBlackburn,"Honored to meet Middle Tennessee’s Honor Flight — comprised of over 2 dozen veterans who served in WWII, the Korean War, and Vietnam.

We owe a tremendous debt of gratitude to these heroes for their service and continued dedication to our country. 

May God bless them 🇺🇸 https://t.co/hprUAivuPi"
7,LackOfView,"During the day his arm is at the war god's service,
With a quickened heart, though war is not why he's nervous,
Restless night: tossed and turned with an image in preserve,
Her fairness in mind, thinking of how he is to serve."
8,StevenBro_28,RT @SurvivorQuotesX: Oh my God. Thank you #Survivor This season has freaking delivered so far! Every ball has been hit out of the park. I h…
9,JuankandaJuan,"@DaviXander_ @macishish I’d say theyd love to do it but the pandemic made their resources scarce enough to just make base consoles.

You can tell they wanted to with the God of War and Horizon launches, especially GoWR. Thatd sold like crazy. They could only muster a controller though :\"
10,Manwar_Speaks,"The young boy looked up eagerly at the old cleric and asked ""Do you serve the god of thunder, or war, or perhaps the moon and stars?"". ""No"" the cleric replied. ""What then, does your god do?"" asked the youngster. https://t.co/AIstEk0oNp"
11,JulianEsq01,RT @SindyJ_B: God Of War - PC https://t.co/JZyMvXPRJA
