,User,Tweet
0,BarackObama,"I got my start on the South Side of Chicago, right down the street from where we’re building the Center, and the lessons I learned in these neighborhoods ended up shaping my life. The Obama Presidential Center is our way of paying it forward. https://t.co/xVUXUVl4xV"
1,BarackObama,"It’s been one year since we officially broke ground on the Obama Presidential Center, and I couldn’t be prouder of the progress we’ve made so far. https://t.co/zdqPdrdrpU"
2,BarackObama,"This summer, @MBK_Alliance awarded grants to 51 organizations working hard to make a difference for young boys and men of color across the country. 

You can learn more about them here: https://t.co/au5Xa0uyGW https://t.co/Y5qvG0TSQY"
3,BarackObama,"RT @ObamaFoundation: To all our Jewish friends, family, and neighbors celebrating the start of #RoshHashanah tonight, Shanah Tovah! https:/…"
4,BarackObama,"This Banned Books Week, I hope you’ll take a moment to appreciate the stories that need to be told. And I hope you’ll join me in reminding anyone who will listen—and even those who won’t—that the free, robust exchange of ideas has always been at the heart of American democracy."
5,BarackObama,"We also owe a debt of gratitude to the team at the Brooklyn Library, and everyone who is helping make sure that readers across the country have access to great books. 
https://t.co/HUCUxE4ItR"
6,BarackObama,"I’m grateful for people like Cameron who fought censorship in Texas by organizing a student-led movement that eventually distributed more than 700 challenged or banned books.

https://t.co/6moK8273OE"
7,BarackObama,"I'm thankful for leaders like Rebecca, one of our @ObamaFoundation Scholars, and Iesha who are making sure Chicagoans of all ages have access to powerful literature. https://t.co/BZYNp0EBg5"
8,BarackObama,"This year, I’m celebrating Banned Books Week and the freedom to read with people across the country. I wrote out a few of my thoughts, and wanted to share the stories of some folks who are working on this issue. 
https://t.co/cq3Zjr7aAB"
9,BarackObama,"Today, books that shaped my life—and many others—are being challenged in schools, bookstores, and libraries by people who disagree with certain ideas or perspectives. Often, these “banned books” are written by or feature people of color and members of LGBTQ communities."
